Date;Type of cash flow;Currency;Quantity / Amount;ISIN;Position;Cash flow type;Month;Identification number;Portfolio instrument number;Evaluation date;Portfolio number;Value pre-tax in trade currency;Value pre-tax in evaluation currency;Value after tax in trade currency
01.09.2021;Coupon;USD;2000000;US828807CV75;3 1/2% Simon Property 15-01.09.2025;Bonds;9;29.225472.000.0;10000.049999999999-29.225472.000.0;31.08.2021;10000.05;35000;35000;35000
01.09.2021;Coupon;USD;2000000;US902494BJ16;4 % Tyson Foods 19-01.03.2026;Bonds;9;46.469594.000.0;10000.049999999999-46.469594.000.0;31.08.2021;10000.05;40000;40000;40000
01.09.2021;Coupon;USD;2000000;US31620MBR60;1.15% Fidelity Nat Inf Serv 21-01.03.2026;Bonds;9;10.189029.000.0;10000.049999999999-10.189029.000.0;31.08.2021;10000.05;11436.11111;11436.11111;11436.11111
02.09.2021;Coupon;USD;2000000;USU2339CEA28;1.45% Daimler North America 21-02.03.2026;Bonds;9;10.247430.000.0;10000.049999999999-10.247430.000.0;31.08.2021;10000.05;14500;14500;14500
09.09.2021;Coupon;USD;2000000;US126650CV07;3.70% CVS Health 18-09.03.2023;Bonds;9;40.806728.000.0;10000.049999999999-40.806728.000.0;31.08.2021;10000.05;37000;37000;37000
15.09.2021;Coupon;USD;2000000;US084670BR84;2 3/4% Berkshire Hathaway 16-15.03.2023;Bonds;9;31.870861.000.0;10000.049999999999-31.870861.000.0;31.08.2021;10000.05;27500;27500;27500
15.09.2021;Coupon;USD;2000000;US437076BN13;2 1/8% Home Depot 16-15.09.2026;Bonds;9;33.878609.000.0;10000.049999999999-33.878609.000.0;31.08.2021;10000.05;21250;21250;21250
20.09.2021;Coupon;USD;2000000;US17275RBH49;2.20% Cisco System 16-20.09.2023;Bonds;9;33.966812.000.0;10000.049999999999-33.966812.000.0;31.08.2021;10000.05;22000;22000;22000
25.09.2021;Coupon;USD;2000000;USN45780CT38;5.80% ING Bank 13-25.09.2023;Bonds;9;22.380676.000.0;10000.049999999999-22.380676.000.0;31.08.2021;10000.05;58000;58000;58000
25.09.2021;Coupon;USD;2000000;US05964HAL96;1.849% Banco Santander 21-25.03.2026;Bonds;9;10.760323.000.0;10000.049999999999-10.760323.000.0;31.08.2021;10000.05;18490;18490;18490
01.10.2021;Coupon;USD;2000000;USN39427AQ76;2 3/4% Heineken 12-01.04.2023;Bonds;10;19.736388.000.0;10000.049999999999-19.736388.000.0;31.08.2021;10000.05;27500;27500;27500
01.10.2021;Coupon;USD;2000000;US68389XBT19;2 1/2% Oracle 20-01.04.2025;Bonds;10;53.904402.000.0;10000.049999999999-53.904402.000.0;31.08.2021;10000.05;25000;25000;25000
09.10.2021;Coupon;USD;2000000;USU09513HX08;3.90% BMW US Capital LLC 20-09.04.2025;Bonds;10;54.037322.000.0;10000.049999999999-54.037322.000.0;31.08.2021;10000.05;39000;39000;39000
11.10.2021;Coupon;USD;2000000;US88032XAL82;3.28% Tencent Holdings 19-11.04.2024;Bonds;10;47.294168.000.0;10000.049999999999-47.294168.000.0;31.08.2021;10000.05;32800;32800;32800
15.10.2021;Coupon;USD;2000000;US548661DM66;2 1/2% Lowe's Companies 16-15.04.2026;Bonds;10;32.244791.000.0;10000.049999999999-32.244791.000.0;31.08.2021;10000.05;25000;25000;25000
21.10.2021;Coupon;USD;2000000;US06051GFP90;3.95% Bank of America 15-21.04.2025 Subord Series L;Bonds;10;27.942144.000.0;10000.049999999999-27.942144.000.0;31.08.2021;10000.05;39500;39500;39500
23.10.2021;Coupon;USD;2000000;US61761JVL06;3.70% Morgan Stanley 14-23.10.2024;Bonds;10;25.837102.000.0;10000.049999999999-25.837102.000.0;31.08.2021;10000.05;37000;37000;37000
23.10.2021;Coupon;USD;2000000;US949746SH57;3 % Wells Fargo 16-23.10.2026;Bonds;10;34.349463.000.0;10000.049999999999-34.349463.000.0;31.08.2021;10000.05;30000;30000;30000
01.11.2021;Coupon;USD;2000000;US92343VCR33;3 1/2% Verizon Comm 14-01.11.2024;Bonds;11;25.867444.000.0;10000.049999999999-25.867444.000.0;31.08.2021;10000.05;35000;35000;35000
03.11.2021;Coupon;USD;2000000;US594918BJ27;3 1/8% Microsoft 15-03.11.2025;Bonds;11;30.291160.000.0;10000.049999999999-30.291160.000.0;31.08.2021;10000.05;31250;31250;31250
03.11.2021;Coupon;USD;2000000;US594918BH60;2.65 % Microsoft 15-03.11.2022;Bonds;11;30.291157.000.0;10000.049999999999-30.291157.000.0;31.08.2021;10000.05;26500;26500;26500
05.11.2021;Coupon;USD;2000000;US904764AX59;2.60% Unilever Capital 17-05.05.2024;Bonds;11;36.622510.000.0;10000.049999999999-36.622510.000.0;31.08.2021;10000.05;26000;26000;26000
13.11.2021;Coupon;USD;2000000;US14913R2H93;0.80% Caterpillar Fin Serv 20-13.11.2025;Bonds;11;58.198447.000.0;10000.049999999999-58.198447.000.0;31.08.2021;10000.05;8000;8000;8000
14.11.2021;Coupon;USD;2000000;US00287YAQ26;3.60% AbbVie 15-14.05.2025;Bonds;11;28.161962.000.0;10000.049999999999-28.161962.000.0;31.08.2021;10000.05;36000;36000;36000
15.11.2021;Coupon;USD;2000000;US68389XBB01;2 1/2% Oracle 15-15.05.2022;Bonds;11;28.073105.000.0;10000.049999999999-28.073105.000.0;31.08.2021;10000.05;25000;25000;25000
15.11.2021;Coupon;USD;2000000;US459200JZ55;3.30% IBM 19-15.05.2026;Bonds;11;47.846322.000.0;10000.049999999999-47.846322.000.0;31.08.2021;10000.05;33000;33000;33000
17.11.2021;Coupon;USD;2000000;US36164Q6M56;3.373% GE Capital Intl F 16-15.11.2025;Bonds;11;32.824679.000.0;10000.049999999999-32.824679.000.0;31.08.2021;10000.05;33730;33730;33730
18.11.2021;Coupon;USD;2000000;US931427AH10;3.80% Walgreen Boots A 14-18.11.2024;Bonds;11;26.032172.000.0;10000.049999999999-26.032172.000.0;31.08.2021;10000.05;38000;38000;38000
20.11.2021;Coupon;USD;2000000;US92343VFS88;0.85% Verizon Communication 20-20.11.2025;Bonds;11;58.226600.000.0;10000.049999999999-58.226600.000.0;31.08.2021;10000.05;8500;8500;8500
22.11.2021;Coupon;USD;2000000;US031162BV19;3 5/8% Amgen 14-22.05.2024;Bonds;11;24.504329.000.0;10000.049999999999-24.504329.000.0;31.08.2021;10000.05;36250;36250;36250
30.11.2021;Coupon;USD;2000000;US002824BF69;3 3/4% Abbott Laboratories 16-30.11.2026;Bonds;11;34.708853.000.0;10000.049999999999-34.708853.000.0;31.08.2021;10000.05;37500;37500;37500
01.12.2021;Coupon;USD;2000000;US631103AF50;4 1/4% NASDAQ OMX Group 14-01.06.2024;Bonds;12;24.504330.000.0;10000.049999999999-24.504330.000.0;31.08.2021;10000.05;42500;42500;42500
01.12.2021;Coupon;USD;2000000;US437076BG61;2 5/8% Home Depot 15-01.06.2022;Bonds;12;28.415537.000.0;10000.049999999999-28.415537.000.0;31.08.2021;10000.05;26250;26250;26250
01.12.2021;Coupon;USD;2000000;US931427AQ19;3.45% Walgreens Boots 16-01.06.2026;Bonds;12;32.729084.000.0;10000.049999999999-32.729084.000.0;31.08.2021;10000.05;34500;34500;34500
15.12.2021;Coupon;USD;2000000;US717081EA70;3 % Pfizer 16-15.12.2026;Bonds;12;34.647471.000.0;10000.049999999999-34.647471.000.0;31.08.2021;10000.05;30000;30000;30000
15.12.2021;Coupon;USD;2000000;US931142DV21;2.65% Walmart 17-15.12.2024;Bonds;12;38.695584.000.0;10000.049999999999-38.695584.000.0;31.08.2021;10000.05;26500;26500;26500
28.12.2021;Coupon;USD;2000000;US02665WCZ23;2.40% American Honda Fin 19-27.06.2024;Bonds;12;48.639236.000.0;10000.049999999999-48.639236.000.0;31.08.2021;10000.05;24000;24000;24000
28.12.2021;Coupon;USD;2000000;US06367WMQ32;2 1/2% Bank of Montreal 19-28.06.2024;Bonds;12;48.661697.000.0;10000.049999999999-48.661697.000.0;31.08.2021;10000.05;25000;25000;25000
06.01.2022;Coupon;USD;2000000;USN4580HAA51;4 5/8 % ING Group 18-06.01.2026;Bonds;1;44.790687.000.0;10000.049999999999-44.790687.000.0;31.08.2021;10000.05;46250;46250;46250
06.01.2022;Coupon;USD;2000000;US24422EUA53;2.70% John Deere 18-06.01.2023;Bonds;1;39.752905.000.0;10000.049999999999-39.752905.000.0;31.08.2021;10000.05;27000;27000;27000
13.01.2022;Coupon;USD;2000000;US254687FV35;1 3/4% Walt Disney 20-13.01.2026;Bonds;1;54.731051.000.0;10000.049999999999-54.731051.000.0;31.08.2021;10000.05;17500;17500;17500
15.01.2022;Coupon;USD;2000000;US91324PCP53;3 3/4% Unitedhealth Group 15-15.07.2025;Bonds;1;28.994943.000.0;10000.049999999999-28.994943.000.0;31.08.2021;10000.05;37500;37500;37500
16.01.2022;Coupon;USD;2000000;US65535HAP47;2.648% Nomura Holdings 20-16.01.2025;Bonds;1;51.913171.000.0;10000.049999999999-51.913171.000.0;31.08.2021;10000.05;26480;26480;26480
18.01.2022;Coupon;USD;2000000;US606822BJ24;2.801% Mitsubishi UFJ 19-18.07.2024;Bonds;1;48.986669.000.0;10000.049999999999-48.986669.000.0;31.08.2021;10000.05;28010;28010;28010
19.01.2022;Coupon;USD;2000000;US80282KAE64;4 1/2% Santander Holdings 15-17.07.2025;Bonds;1;28.941209.000.0;10000.049999999999-28.941209.000.0;31.08.2021;10000.05;45000;45000;45000
19.01.2022;Coupon;USD;2000000;USN27915AQ54;2.82% Deutsche Telekom Intl 17-19.01.2022;Bonds;1;35.311606.000.0;10000.049999999999-35.311606.000.0;31.08.2021;10000.05;28200;28200;28200
20.01.2022;Coupon;USD;2000000;US126650CL25;3 7/8% CVS Health 15-20.07.2025;Bonds;1;28.928618.000.0;10000.049999999999-28.928618.000.0;31.08.2021;10000.05;38750;38750;38750
26.01.2022;Coupon;USD;2000000;XS2287744218;1 3/8% QNB Finance 21-26.01.2026;Bonds;1;59.542468.000.0;10000.049999999999-59.542468.000.0;31.08.2021;10000.05;13750;13750;13750
30.01.2022;Coupon;USD;2000000;US58013MEY66;3.70% McDonald's 15-30.01.2026;Bonds;1;30.670031.000.0;10000.049999999999-30.670031.000.0;31.08.2021;10000.05;37000;37000;37000
01.02.2022;Coupon;USD;2000000;US035242AP13;3.65% Anheuser Busch 16-01.02.2026;Bonds;2;31.118407.000.0;10000.049999999999-31.118407.000.0;31.08.2021;10000.05;36500;36500;36500
09.02.2022;Coupon;USD;2000000;US037833CM07;2 1/2% Apple 17-09.02.2022;Bonds;2;35.604991.000.0;10000.049999999999-35.604991.000.0;31.08.2021;10000.05;25000;25000;25000
10.02.2022;Coupon;USD;2000000;US58933YAQ89;2.35% Merck 15-10.02.2022;Bonds;2;27.079219.000.0;10000.049999999999-27.079219.000.0;31.08.2021;10000.05;23500;23500;23500
15.02.2022;Coupon;USD;2000000;US20030NBL47;3 3/8% Comcast 14-15.02.2025;Bonds;2;25.125715.000.0;10000.049999999999-25.125715.000.0;31.08.2021;10000.05;33750;33750;33750
15.02.2022;Coupon;USD;2000000;US855244AQ29;3.80% Starbucks 18-15.08.2025;Bonds;2;43.167960.000.0;10000.049999999999-43.167960.000.0;31.08.2021;10000.05;38000;38000;38000
19.02.2022;Coupon;USD;2000000;US031162CJ71;2.60% Amgen 16-19.08.2026;Bonds;2;33.613028.000.0;10000.049999999999-33.613028.000.0;31.08.2021;10000.05;26000;26000;26000
21.02.2022;Coupon;USD;2000000;US822582AS19;2 3/8% Shell Intl Finance 12-21.08.2022;Bonds;2;19.289108.000.0;10000.049999999999-19.289108.000.0;31.08.2021;10000.05;23750;23750;23750
22.02.2022;Coupon;USD;2000000;US025816CC13;3.40% American Express 19-22.02.2024;Bonds;2;46.559313.000.0;10000.049999999999-46.559313.000.0;31.08.2021;10000.05;34000;34000;34000
24.02.2022;Coupon;USD;2000000;US055451AQ16;2 7/8% BHP Billiton Finance 12-24.02.2022;Bonds;2;18.050718.000.0;10000.049999999999-18.050718.000.0;31.08.2021;10000.05;28750;28750;28750
01.03.2022;Coupon;USD;2000000;US828807CV75;3 1/2% Simon Property 15-01.09.2025;Bonds;3;29.225472.000.0;10000.049999999999-29.225472.000.0;31.08.2021;10000.05;35000;35000;35000
01.03.2022;Coupon;USD;2000000;US902494BJ16;4 % Tyson Foods 19-01.03.2026;Bonds;3;46.469594.000.0;10000.049999999999-46.469594.000.0;31.08.2021;10000.05;40000;40000;40000
01.03.2022;Coupon;USD;2000000;US31620MBR60;1.15% Fidelity Nat Inf Serv 21-01.03.2026;Bonds;3;10.189029.000.0;10000.049999999999-10.189029.000.0;31.08.2021;10000.05;11500;11500;11500
02.03.2022;Coupon;USD;2000000;USU2339CEA28;1.45% Daimler North America 21-02.03.2026;Bonds;3;10.247430.000.0;10000.049999999999-10.247430.000.0;31.08.2021;10000.05;14500;14500;14500
09.03.2022;Coupon;USD;2000000;US126650CV07;3.70% CVS Health 18-09.03.2023;Bonds;3;40.806728.000.0;10000.049999999999-40.806728.000.0;31.08.2021;10000.05;37000;37000;37000
15.03.2022;Coupon;USD;2000000;US084670BR84;2 3/4% Berkshire Hathaway 16-15.03.2023;Bonds;3;31.870861.000.0;10000.049999999999-31.870861.000.0;31.08.2021;10000.05;27500;27500;27500
15.03.2022;Coupon;USD;2000000;US437076BN13;2 1/8% Home Depot 16-15.09.2026;Bonds;3;33.878609.000.0;10000.049999999999-33.878609.000.0;31.08.2021;10000.05;21250;21250;21250
20.03.2022;Coupon;USD;2000000;US17275RBH49;2.20% Cisco System 16-20.09.2023;Bonds;3;33.966812.000.0;10000.049999999999-33.966812.000.0;31.08.2021;10000.05;22000;22000;22000
25.03.2022;Coupon;USD;2000000;USN45780CT38;5.80% ING Bank 13-25.09.2023;Bonds;3;22.380676.000.0;10000.049999999999-22.380676.000.0;31.08.2021;10000.05;58000;58000;58000
25.03.2022;Coupon;USD;2000000;US05964HAL96;1.849% Banco Santander 21-25.03.2026;Bonds;3;10.760323.000.0;10000.049999999999-10.760323.000.0;31.08.2021;10000.05;18490;18490;18490
01.04.2022;Coupon;USD;2000000;USN39427AQ76;2 3/4% Heineken 12-01.04.2023;Bonds;4;19.736388.000.0;10000.049999999999-19.736388.000.0;31.08.2021;10000.05;27500;27500;27500
01.04.2022;Coupon;USD;2000000;US68389XBT19;2 1/2% Oracle 20-01.04.2025;Bonds;4;53.904402.000.0;10000.049999999999-53.904402.000.0;31.08.2021;10000.05;25000;25000;25000
09.04.2022;Coupon;USD;2000000;USU09513HX08;3.90% BMW US Capital LLC 20-09.04.2025;Bonds;4;54.037322.000.0;10000.049999999999-54.037322.000.0;31.08.2021;10000.05;39000;39000;39000
11.04.2022;Coupon;USD;2000000;US88032XAL82;3.28% Tencent Holdings 19-11.04.2024;Bonds;4;47.294168.000.0;10000.049999999999-47.294168.000.0;31.08.2021;10000.05;32800;32800;32800
15.04.2022;Coupon;USD;2000000;US548661DM66;2 1/2% Lowe's Companies 16-15.04.2026;Bonds;4;32.244791.000.0;10000.049999999999-32.244791.000.0;31.08.2021;10000.05;25000;25000;25000
21.04.2022;Coupon;USD;2000000;US06051GFP90;3.95% Bank of America 15-21.04.2025 Subord Series L;Bonds;4;27.942144.000.0;10000.049999999999-27.942144.000.0;31.08.2021;10000.05;39500;39500;39500
23.04.2022;Coupon;USD;2000000;US61761JVL06;3.70% Morgan Stanley 14-23.10.2024;Bonds;4;25.837102.000.0;10000.049999999999-25.837102.000.0;31.08.2021;10000.05;37000;37000;37000
23.04.2022;Coupon;USD;2000000;US949746SH57;3 % Wells Fargo 16-23.10.2026;Bonds;4;34.349463.000.0;10000.049999999999-34.349463.000.0;31.08.2021;10000.05;30000;30000;30000
01.05.2022;Coupon;USD;2000000;US92343VCR33;3 1/2% Verizon Comm 14-01.11.2024;Bonds;5;25.867444.000.0;10000.049999999999-25.867444.000.0;31.08.2021;10000.05;35000;35000;35000
03.05.2022;Coupon;USD;2000000;US594918BJ27;3 1/8% Microsoft 15-03.11.2025;Bonds;5;30.291160.000.0;10000.049999999999-30.291160.000.0;31.08.2021;10000.05;31250;31250;31250
03.05.2022;Coupon;USD;2000000;US594918BH60;2.65 % Microsoft 15-03.11.2022;Bonds;5;30.291157.000.0;10000.049999999999-30.291157.000.0;31.08.2021;10000.05;26500;26500;26500
05.05.2022;Coupon;USD;2000000;US904764AX59;2.60% Unilever Capital 17-05.05.2024;Bonds;5;36.622510.000.0;10000.049999999999-36.622510.000.0;31.08.2021;10000.05;26000;26000;26000
13.05.2022;Coupon;USD;2000000;US14913R2H93;0.80% Caterpillar Fin Serv 20-13.11.2025;Bonds;5;58.198447.000.0;10000.049999999999-58.198447.000.0;31.08.2021;10000.05;8000;8000;8000
14.05.2022;Coupon;USD;2000000;US00287YAQ26;3.60% AbbVie 15-14.05.2025;Bonds;5;28.161962.000.0;10000.049999999999-28.161962.000.0;31.08.2021;10000.05;36000;36000;36000
15.05.2022;Coupon;USD;2000000;US68389XBB01;2 1/2% Oracle 15-15.05.2022;Bonds;5;28.073105.000.0;10000.049999999999-28.073105.000.0;31.08.2021;10000.05;25000;25000;25000
15.05.2022;Coupon;USD;2000000;US459200JZ55;3.30% IBM 19-15.05.2026;Bonds;5;47.846322.000.0;10000.049999999999-47.846322.000.0;31.08.2021;10000.05;33000;33000;33000
