Portfolio number;Currency;Value end;Inflow;Outflow;Evaluation date;PreviousIndex;Index;ValueStart;AdjInFlow;P&L;AvgCapital
10000.07;USD;165095359.8;0;0;31.12.2012;1;;;165095359.8;0;82547679.9
10000.07;USD;165098148.1;0;0;01.01.2013;3;1;165095359.8;0;2788.3;165095359.8
10000.07;USD;166772787.4;0;0;02.01.2013;5;3;165098148.1;0;1674639.3;165098148.1
10000.07;USD;166600840.8;0;0;03.01.2013;7;5;166772787.4;0;-171946.6;166772787.4
10000.07;USD;166771059.6;0;0;04.01.2013;9;7;166600840.8;0;170218.8;166600840.8
10000.07;USD;166674442.1;0;0;07.01.2013;11;9;166771059.6;0;-96617.5;166771059.6
10000.07;USD;166637205.8;0;0;08.01.2013;13;11;166674442.1;0;-37236.3;166674442.1
10000.07;USD;167106975.5;0;0;09.01.2013;15;13;166637205.8;0;469769.7;166637205.8
10000.07;USD;167440531.5;0;0;10.01.2013;17;15;167106975.5;0;333556;167106975.5
10000.07;USD;167403554.9;0;0;11.01.2013;19;17;167440531.5;0;-36976.6;167440531.5
10000.07;USD;167915138.3;0;0;14.01.2013;21;19;167403554.9;0;511583.4;167403554.9
10000.07;USD;168067879.5;0;0;15.01.2013;23;21;167915138.3;0;152741.2;167915138.3
10000.07;USD;168039385.2;0;0;16.01.2013;25;23;168067879.5;0;-28494.3;168067879.5
10000.07;USD;168416079;0;0;17.01.2013;27;25;168039385.2;0;376693.8;168039385.2
10000.07;USD;168641648.7;0;0;18.01.2013;29;27;168416079;0;225569.7;168416079
10000.07;USD;168715856.5;0;0;21.01.2013;31;29;168641648.7;0;74207.8;168641648.7
10000.07;USD;168758944.3;0;0;22.01.2013;33;31;168715856.5;0;43087.8;168715856.5
10000.07;USD;168690493.7;0;0;23.01.2013;35;33;168758944.3;0;-68450.6;168758944.3
10000.07;USD;168789756.1;0;0;24.01.2013;37;35;168690493.7;0;99262.4;168690493.7
10000.07;USD;168914820.4;0;0;25.01.2013;39;37;168789756.1;0;125064.3;168789756.1
10000.07;USD;168769208.6;0;0;28.01.2013;41;39;168914820.4;0;-145611.8;168914820.4
10000.07;USD;169058596.1;0;0;29.01.2013;43;41;168769208.6;0;289387.5;168769208.6
10000.07;USD;168778442.8;0;0;30.01.2013;45;43;169058596.1;0;-280153.3;169058596.1
10000.07;USD;171136456.9;0;0;31.01.2013;47;45;168778442.8;0;2358014.1;168778442.8
