Description;ISIN;Identification number;Quantity / amount;Price;Market to cost;Weight;Investment strategy;Portfolio manager;Relationship manager;Evaluation date;Portfolio number;Total value in evaluation currency;Trade currency;Risk currency;Duration;YTM;Duration x Total value in evaluation currency;YTM x Total value in evaluation currency;Position rank;Country;Asset class;Price date;Bank
3.80% Walgreen Boots A 14-18.11.2024;US931427AH10;26.032172.000.0;2000000;108.716;0.043850637;0.01056676;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2195853.333;USD;USD;3.002967289;0.010378633;6594075.732;22789.95625;;USA;Bonds;31.08.2021;LGT, Geneva
1.998% Alphabet 16-15.08.2026;US02079KAC18;33.521430.000.0;1500000;105.2163;-0.01532652;0.007600747;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1579493.25;USD;USD;4.700790382;0.009202645;7424866.678;14535.51603;;USA;Bonds;31.08.2021;LGT, Geneva
4.40% HP Enterprise 16-15.10.2022;US42824CAN92;34.601976.000.0;1500000;103.761;0.005533482;0.007608792;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1581165;USD;USD;1.080144314;0.010326749;1707886.385;16328.29397;;USA;Bonds;31.08.2021;LGT, Geneva
2 1/2% Apple 17-09.02.2022;US037833CM07;35.604991.000.0;2000000;100.8;0.014492754;0.009715315;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2018916.667;USD;USD;0.440597251;0.006660451;889529.1336;13446.89545;;USA;Bonds;31.08.2021;LGT, Geneva
2.60% Unilever Capital 17-05.05.2024;US904764AX59;36.622510.000.0;2000000;105.246;0.017892375;0.010209111;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2121531.111;USD;USD;2.569321869;0.006215695;5450896.28;13186.79127;;USA;Bonds;31.08.2021;LGT, Geneva
2.65% Walmart 17-15.12.2024;US931142DV21;38.695584.000.0;2000000;106.561;0.029604723;0.010308869;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2142261.667;USD;USD;3.140489864;0.006345477;6727751.049;13593.67191;;USA;Bonds;31.08.2021;LGT, Geneva
2.40% American Honda Fin 19-27.06.2024;US02665WCZ23;48.639236.000.0;2000000;104.938;0.038846101;0.010139313;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2107026.667;USD;USD;2.719772551;0.006327976;5730633.293;13333.21452;;USA;Bonds;31.08.2021;LGT, Geneva
1.65% PayPal Holdings 20-01.06.2025;US70450YAG89;54.739307.000.0;1000000;102.875;-0.010969466;0.004970121;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1032829.167;USD;USD;3.60824926;0.008673834;3726705.077;8958.58856;;USA;Bonds;31.08.2021;LGT, Geneva
0.95% 7 Eleven 21-10.02.2026;USU81522AC57;59.704588.000.0;4000000;98.487;0.004748958;0.018967499;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;3941591.111;USD;USD;4.304940867;0.013006607;16968316.65;51266.72477;;USA;Bonds;30.08.2021;LGT, Geneva
4 5/8% Tenet Healthcare 18-15.07.2024;US88033GCS75;37.047622.000.0;750000;101.6158;-0.008673409;0.015195839;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;766454.4375;USD;USD;2.601542021;0.040262913;1993963.426;30859.68845;;USA;Bonds;31.08.2021;JPM, Geneva
7% Gray Escrow Inc 18-15.05.2027 144A;US389284AA85;44.636390.000.0;700000;107.021;-0.024543097;0.015136048;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;763438.6667;USD;USD;4.476930692;0.055523117;3417861.998;42388.49463;;USA;Bonds;31.08.2021;JPM, Geneva
1.45% Daimler North America 21-02.03.2026;USU2339CEA28;10.247430.000.0;2000000;100.814;0.002924791;0.009771628;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2030618.889;USD;USD;4.288069022;0.012649294;8707433.953;25685.89457;;USA;Bonds;27.08.2021;LGT, Geneva
3.70% Morgan Stanley 14-23.10.2024;US61761JVL06;25.837102.000.0;2000000;108.91;0.059899762;0.010607433;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2204305.556;USD;USD;2.943764057;0.008283827;6488955.464;18260.08549;;USA;Bonds;31.08.2021;LGT, Geneva
2.35% Merck 15-10.02.2022;US58933YAQ89;27.079219.000.0;2000000;100.924;0.016866499;0.009725779;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2021091.111;USD;USD;0.445123609;0.002574722;899635.3691;5203.747425;;USA;Bonds;31.08.2021;LGT, Geneva
3 1/2% Simon Property 15-01.09.2025;US828807CV75;29.225472.000.0;2000000;109.142;-0.010426867;0.010671627;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2217645.556;USD;USD;3.67568665;0.011574715;8151370.163;25668.61507;;USA;Bonds;31.08.2021;LGT, Geneva
3.95% AT&T 16-15.01.2025;US00206RDD17;31.824877.000.0;1500000;110.263;0.026628679;0.00799466;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1661351.25;USD;USD;3.160042596;0.008580225;5249940.717;14254.76764;;USA;Bonds;31.08.2021;LGT, Geneva
FRN Bank of America 17-24.04.2023;US06051GGK94;36.487063.000.0;2000000;101.632;0.014321786;0.0098784;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2052807;USD;USD;0.145120128;0.018769377;297903.615;38529.90752;;USA;Bonds;31.08.2021;LGT, Geneva
