Ticket date;Transaction;Transaction number;Amount;Position;Identification number;Accounting;Price;Value in evaluation currency;Portfolio number;Booking date;Value date;Purchase date;Portfolio instrument number;Position instrument number;Evaluation date;Transaction value in evaluation currency;Transaction interest in evaluation currency;Transaction fees in evaluation currency;Transaction duties and taxes in evaluation currency;Fee basis in evaluation currency;Transaction holding position;Transaction holding amount;Transaction counterparty position;Transaction counterparty currency;Transaction counterparty amount;Transaction holding identification number;Transaction counterparty identification number;Value;Currency;Transaction holding currency
02.01.2020;Coupon payment;10000.05-2680;0;FRN Credit Agricole 16-01.07.2021;32.357632.000.0;Coupon;;-25409.38;10000.05;06.01.2020;02.01.2020;02.01.2020;10000.049999999999-32.357632.000.0;FRN Credit Agricole 16-01.07.2021 (32.357632.000.0);31.08.2021;0;25409.38;0;0;25409.38;FRN Credit Agricole 16-01.07.2021;0;Current Account USD;USD;25409.38;32.357632.000.0;  .KK-USD.000.0.10000.05;-25409.38;USD;USD
03.01.2020;Coupon payment;10000.05-2690;0;3 7/8% Air Lease 18-03.07.2023;42.213453.000.0;Coupon;;-19375;10000.05;08.01.2020;03.01.2020;03.01.2020;10000.049999999999-42.213453.000.0;3 7/8% Air Lease 18-03.07.2023 (42.213453.000.0);31.08.2021;0;19375;0;0;19375;3 7/8% Air Lease 18-03.07.2023;0;Current Account USD;USD;19375;42.213453.000.0;  .KK-USD.000.0.10000.05;-19375;USD;USD
06.01.2020;Coupon payment;10000.05-2689;0;2.70% John Deere 18-06.01.2023;39.752905.000.0;Coupon;;-27000;10000.05;08.01.2020;06.01.2020;06.01.2020;10000.049999999999-39.752905.000.0;2.70% John Deere 18-06.01.2023 (39.752905.000.0);31.08.2021;0;27000;0;0;27000;2.70% John Deere 18-06.01.2023;0;Current Account USD;USD;27000;39.752905.000.0;  .KK-USD.000.0.10000.05;-27000;USD;USD
08.01.2020;Coupon payment;10000.05-2692;0;3.35% Toyota Motor Credit 19-08.01.2024;45.722899.000.0;Coupon;;-16750;10000.05;10.01.2020;08.01.2020;08.01.2020;10000.049999999999-45.722899.000.0;3.35% Toyota Motor Credit 19-08.01.2024 (45.722899.000.0);31.08.2021;0;16750;0;0;16750;3.35% Toyota Motor Credit 19-08.01.2024;0;Current Account USD;USD;16750;45.722899.000.0;  .KK-USD.000.0.10000.05;-16750;USD;USD
08.01.2020;Coupon payment;10000.05-2693;0;2.80% Oracle 14-08.07.2021;24.825762.000.0;Coupon;;-14000;10000.05;10.01.2020;08.01.2020;08.01.2020;10000.049999999999-24.825762.000.0;2.80% Oracle 14-08.07.2021 (24.825762.000.0);31.08.2021;0;14000;0;0;14000;2.80% Oracle 14-08.07.2021;0;Current Account USD;USD;14000;24.825762.000.0;  .KK-USD.000.0.10000.05;-14000;USD;USD
09.01.2020;Coupon payment;10000.05-2694;0;3.219% Ford Motor Credit 15-09.01.2022;26.605261.000.0;Coupon;;-24142.5;10000.05;13.01.2020;09.01.2020;09.01.2020;10000.049999999999-26.605261.000.0;3.219% Ford Motor Credit 15-09.01.2022 (26.605261.000.0);31.08.2021;0;24142.5;0;0;24142.5;3.219% Ford Motor Credit 15-09.01.2022;0;Current Account USD;USD;24142.5;26.605261.000.0;  .KK-USD.000.0.10000.05;-24142.5;USD;USD
13.01.2020;Coupon payment;10000.05-2696;0;2.70% Toyota Motor Credit 18-11.01.2023;39.820103.000.0;Coupon;;-40500;10000.05;15.01.2020;13.01.2020;13.01.2020;10000.049999999999-39.820103.000.0;2.70% Toyota Motor Credit 18-11.01.2023 (39.820103.000.0);31.08.2021;0;40500;0;0;40500;2.70% Toyota Motor Credit 18-11.01.2023;0;Current Account USD;USD;40500;39.820103.000.0;  .KK-USD.000.0.10000.05;-40500;USD;USD
13.01.2020;Coupon payment;10000.05-2697;0;3.20% General Motors 15-13.07.2020;28.880924.000.0;Coupon;;-24000;10000.05;15.01.2020;13.01.2020;13.01.2020;10000.049999999999-28.880924.000.0;3.20% General Motors 15-13.07.2020 (28.880924.000.0);31.08.2021;0;24000;0;0;24000;3.20% General Motors 15-13.07.2020;0;Current Account USD;USD;24000;28.880924.000.0;  .KK-USD.000.0.10000.05;-24000;USD;USD
13.01.2020;Coupon payment;10000.05-2698;0;3.60% Metropolitan Life 19-11.01.2024;45.812661.000.0;Coupon;;-18000;10000.05;15.01.2020;13.01.2020;13.01.2020;10000.049999999999-45.812661.000.0;3.60% Metropolitan Life 19-11.01.2024 (45.812661.000.0);31.08.2021;0;18000;0;0;18000;3.60% Metropolitan Life 19-11.01.2024;0;Current Account USD;USD;18000;45.812661.000.0;  .KK-USD.000.0.10000.05;-18000;USD;USD
13.01.2020;Coupon payment;10000.05-2699;0;2.218% Total Capital 19-12.07.2021;48.915577.000.0;Coupon;;-22426.44;10000.05;15.01.2020;13.01.2020;13.01.2020;10000.049999999999-48.915577.000.0;2.218% Total Capital 19-12.07.2021 (48.915577.000.0);31.08.2021;0;22426.44;0;0;22426.44;2.218% Total Capital 19-12.07.2021;0;Current Account USD;USD;22426.44;48.915577.000.0;  .KK-USD.000.0.10000.05;-22426.44;USD;USD
